"Year","FishName","OtoWidth","Ages","Site","FSLann","FSLsumm","FSLaut","FSLwin","FSLspr","TannS","TsummS","TautS","TwinS","TsprS","TannW","TsummW","TautW","TwinW","TsprW"
2002,"X060131",16.71966667,34,"West",0.714583333333333,0.658666666666667,0.796333333333333,0.804666666666667,0.598666666666667,19.065,20.1066666666667,20.4666666666667,18.4166666666667,17.27,20.1408333333333,20.8666666666667,21.6833333333333,19.6033333333333,18.41
2002,"X050263",16.55333333,49,"South",0.714583333333333,0.658666666666667,0.796333333333333,0.804666666666667,0.598666666666667,19.065,20.1066666666667,20.4666666666667,18.4166666666667,17.27,20.1408333333333,20.8666666666667,21.6833333333333,19.6033333333333,18.41
2002,"X050229",19.34266667,41,"West",0.714583333333333,0.658666666666667,0.796333333333333,0.804666666666667,0.598666666666667,19.065,20.1066666666667,20.4666666666667,18.4166666666667,17.27,20.1408333333333,20.8666666666667,21.6833333333333,19.6033333333333,18.41
2002,"X050134",10.95266667,35,"South",0.714583333333333,0.658666666666667,0.796333333333333,0.804666666666667,0.598666666666667,19.065,20.1066666666667,20.4666666666667,18.4166666666667,17.27,20.1408333333333,20.8666666666667,21.6833333333333,19.6033333333333,18.41
2002,"X060267",14.563,53,"West",0.714583333333333,0.658666666666667,0.796333333333333,0.804666666666667,0.598666666666667,19.065,20.1066666666667,20.4666666666667,18.4166666666667,17.27,20.1408333333333,20.8666666666667,21.6833333333333,19.6033333333333,18.41
2002,"X050193",13.61433333,34,"South",0.714583333333333,0.658666666666667,0.796333333333333,0.804666666666667,0.598666666666667,19.065,20.1066666666667,20.4666666666667,18.4166666666667,17.27,20.1408333333333,20.8666666666667,21.6833333333333,19.6033333333333,18.41
2002,"X060253",14.30633333,43,"West",0.714583333333333,0.658666666666667,0.796333333333333,0.804666666666667,0.598666666666667,19.065,20.1066666666667,20.4666666666667,18.4166666666667,17.27,20.1408333333333,20.8666666666667,21.6833333333333,19.6033333333333,18.41
2002,"X060028",12.10833333,42,"South",0.714583333333333,0.658666666666667,0.796333333333333,0.804666666666667,0.598666666666667,19.065,20.1066666666667,20.4666666666667,18.4166666666667,17.27,20.1408333333333,20.8666666666667,21.6833333333333,19.6033333333333,18.41
2002,"X050103",16.253,45,"South",0.714583333333333,0.658666666666667,0.796333333333333,0.804666666666667,0.598666666666667,19.065,20.1066666666667,20.4666666666667,18.4166666666667,17.27,20.1408333333333,20.8666666666667,21.6833333333333,19.6033333333333,18.41
2002,"X060116",19.908,41,"West",0.714583333333333,0.658666666666667,0.796333333333333,0.804666666666667,0.598666666666667,19.065,20.1066666666667,20.4666666666667,18.4166666666667,17.27,20.1408333333333,20.8666666666667,21.6833333333333,19.6033333333333,18.41
